Day Pass Purchased,3-Day Pass Purchased,7-Day Pass Purchased,Total Annual Members,Annual Sign-Ups,Cumulative trips,Daily Trips,Date,Total Miles,Daily Miles
0,0,0,17216,2043,9767,9767,5/27/2013,"21,533","21,533"
0,0,0,19816,2598,14982,5215,5/28/2013,"30,313","8,780"
0,0,0,21986,2167,25963,10981,5/29/2013,"52,211","21,898"
0,0,0,23985,1998,35813,9850,5/30/2013,"72,532","20,321"
0,0,0,25615,1630,45066,9253,5/31/2013,"92,775","20,243"
0,0,0,26756,1141,54918,9852,6/1/2013,"119,122","26,347"
4723,0,289,28253,1496,72508,17590,6/2/2013,"171,266","52,144"
1160,0,221,29616,1363,81107,8599,6/3/2013,"190,173","18,907"
2922,0,394,31095,1479,98696,17589,6/4/2013,"238,839","48,666"
2821,0,279,32620,1530,116129,17433,6/5/2013,"283,757","44,918"
1872,0,210,33954,1334,129861,13732,6/6/2013,"314,743","30,986"
66,0,11,34449,495,131254,1393,6/7/2013,"316,809","2,066"
5013,0,230,35233,784,151153,19899,6/8/2013,"371,473","54,664"
5772,0,275,36295,1062,174389,23236,6/9/2013,"443,077","71,604"
290,0,82,37086,791,178893,4504,6/10/2013,"453,215","10,138"
1836,0,273,37894,808,193531,14638,6/11/2013,"487,845","34,630"
2767,0,316,38805,911,212491,18960,6/12/2013,"533,559","45,714"
701,0,119,39442,637,221273,8782,6/13/2013,"548,634","15,075"
2268,0,211,40078,636,237696,16423,6/14/2013,"582,614","33,980"
6107,0,319,40702,624,264972,27276,6/15/2013,"655,406","72,792"
4413,0,314,41541,839,288582,23610,6/16/2013,"714,979","59,573"
2378,0,530,42564,1023,309860,21278,6/17/2013,"758,876","43,897"
1236,0,277,43394,830,324686,14826,6/18/2013,"786,546","27,670"
2678,0,607,44223,829,350953,26267,6/19/2013,"840,951","54,405"
2814,0,421,45024,801,379947,28994,6/20/2013,"900,886","59,935"
3465,0,408,45815,791,410607,30660,6/21/2013,"965,759","64,873"
5902,0,383,46448,633,442492,31885,6/22/2013,"1,046,191","80,432"
4959,0,279,47203,755,473145,30653,6/23/2013,"1,122,641","76,450"
1844,0,386,48135,932,499781,26636,6/24/2013,"1,173,305","50,664"
1937,0,343,48915,780,530207,30426,6/25/2013,"1,229,380","56,075"
2000,0,301,49665,750,562529,32322,6/26/2013,"1,289,043","59,663"
1680,0,223,50355,690,590623,28094,6/27/2013,"1,344,304","55,261"
2268,0,291,51029,674,621218,30595,6/28/2013,"1,402,340","58,036"
4895,0,296,51505,476,654165,32947,6/29/2013,"1,479,567","77,227"
3592,0,178,52125,620,681450,27285,6/30/2013,"1,540,619","61,052"
846,0,167,52722,597,701601,20151,7/1/2013,"1,576,787","36,168"
1435,0,219,53310,588,728283,26682,7/2/2013,"1,625,520","48,733"
1419,0,189,53748,438,753792,25509,7/3/2013,"1,671,537","46,017"
4219,0,257,54073,325,779796,26004,7/4/2013,"1,735,210","63,673"
2803,0,215,54507,434,805337,25541,7/5/2013,"1,788,629","53,419"
3178,0,172,54843,336,829034,23697,7/6/2013,"1,842,391","53,762"
2703,0,186,55284,441,852722,23688,7/7/2013,"1,893,025","50,634"
1453,0,321,55971,687,878785,26063,7/8/2013,"1,942,856","49,831"
1379,0,287,56610,639,909714,30929,7/9/2013,"1,998,355","55,499"
1435,0,223,57194,584,940419,30705,7/10/2013,"2,054,304","55,949"
1478,0,196,57725,531,970108,29689,7/11/2013,"2,110,697","56,393"
1096,0,118,58133,408,992925,22817,7/12/2013,"2,150,667","39,970"
3285,0,213,58495,362,1023057,30132,7/13/2013,"2,215,501","64,834"
3681,0,224,58954,459,1056602,33545,7/14/2013,"2,290,520","75,019"
1382,0,273,59593,639,1089167,32565,7/15/2013,"2,348,275","57,755"
1288,0,251,60129,536,1123924,34757,7/16/2013,"2,410,132","61,857"
1303,0,201,60619,490,1159096,35172,7/17/2013,"2,470,829","60,697"
1094,0,143,61008,389,1192318,33222,7/18/2013,"2,527,057","56,228"
1389,0,164,61366,358,1222985,30667,7/19/2013,"2,579,841","52,784"
2811,0,169,61652,286,1252130,29145,7/20/2013,"2,638,640","58,799"
3502,0,191,62074,422,1286824,34694,7/21/2013,"2,714,950","76,310"
1005,0,184,62577,503,1316611,29787,7/22/2013,"2,765,095","50,145"
1390,0,220,63026,449,1353907,37296,7/23/2013,"2,831,006","65,911"
1708,0,211,63466,440,1394606,40699,7/24/2013,"2,905,475","74,469"
1163,0,144,63822,356,1430813,36207,7/25/2013,"2,967,663","62,188"
2073,0,176,64182,360,1470312,39499,7/26/2013,"3,040,373","72,710"
4259,0,197,64495,313,1507443,37131,7/27/2013,"3,122,643","82,270"
2391,0,137,64884,389,1534223,26780,7/28/2013,"3,176,204","53,561"
1712,0,275,65381,497,1574241,40018,7/29/2013,"3,249,630","73,426"
1701,0,237,65855,474,1617223,42982,7/30/2013,"3,327,547","77,917"
1692,0,186,66310,455,1659968,42745,7/31/2013,"3,404,528","76,981"
415,0,73,66644,334,1682993,23025,8/1/2013,"3,439,323","34,795"
2302,0,230,67027,383,1723647,40654,8/2/2013,"3,514,713","75,390"
3417,0,180,67293,266,1757820,34173,8/3/2013,"3,588,013","73,300"
4547,0,261,67685,392,1797923,40103,8/4/2013,"3,681,204","93,191"
1924,0,276,68242,557,1839682,41759,8/5/2013,"3,759,968","78,764"
1778,0,222,68744,502,1882656,42974,8/6/2013,"3,839,230","79,262"
1261,0,183,69137,393,1921776,39120,8/7/2013,"3,905,939","66,709"
946,0,137,69436,299,1953839,32063,8/8/2013,"3,957,604","51,665"
1269,0,134,69722,286,1986765,32926,8/9/2013,"4,012,556","54,952"
5567,0,223,69996,274,2030133,43368,8/10/2013,"4,116,300","103,744"
3826,0,234,70368,372,2067294,37161,8/11/2013,"4,199,304","83,004"
1314,0,257,70799,431,2102940,35646,8/12/2013,"4,262,200","62,896"
787,0,111,71121,322,2128509,25569,8/13/2013,"4,306,574","44,374"
1727,0,219,71481,360,2171946,43437,8/14/2013,"4,385,055","78,481"
1733,0,179,71862,381,2214868,42922,8/15/2013,"4,461,354","76,299"
2085,0,170,72207,345,2256119,41251,8/16/2013,"4,538,398","77,044"
5729,0,217,72471,264,2300403,44284,8/17/2013,"4,642,688","104,290"
2524,0,160,72846,375,2331915,31512,8/18/2013,"4,705,426","62,738"
1395,0,236,73299,453,2369837,37922,8/19/2013,"4,771,130","65,704"
1491,0,233,73703,404,2410992,41155,8/20/2013,"4,843,827","72,697"
1365,0,176,74080,377,2452710,41718,8/21/2013,"4,917,024","73,197"
787,0,128,74400,320,2483457,30747,8/22/2013,"4,968,280","51,256"
1965,0,157,74713,313,2522173,38716,8/23/2013,"5,040,455","72,175"
3933,0,194,75012,299,2560222,38049,8/24/2013,"5,121,507","81,052"
3626,0,199,75372,360,2596863,36641,8/25/2013,"5,202,240","80,733"
1098,0,190,75756,384,2631675,34812,8/26/2013,"5,263,713","61,473"
1222,0,188,76123,367,2670933,39258,8/27/2013,"5,330,798","67,085"
765,0,102,76402,279,2703195,32262,8/28/2013,"5,384,254","53,456"
1363,0,141,76669,267,2741821,38626,8/29/2013,"5,450,171","65,917"
1872,0,165,76922,253,2778691,36870,8/30/2013,"5,517,420","67,249"
3064,0,174,77133,211,2807238,28547,8/31/2013,"5,577,469","60,049"
3273,0,148,77331,198,2835568,28330,9/1/2013,"5,638,565","61,096"
1829,0,121,77609,278,2859662,24094,9/2/2013,"5,684,625","46,060"
1015,0,157,77997,388,2896625,36963,9/3/2013,"5,747,431","62,806"
1263,0,176,78388,391,2938710,42085,9/4/2013,"5,821,132","73,701"
1354,0,185,78726,338,2979527,40817,9/5/2013,"5,891,676","70,544"
1556,0,155,79010,284,3020457,40930,9/6/2013,"5,963,800","72,124"
3600,0,200,79273,263,3059407,38950,9/7/2013,"6,043,881","80,081"
3025,0,182,79649,376,3096943,37536,9/8/2013,"6,120,207","76,326"
1060,0,203,80049,400,3137482,40539,9/9/2013,"6,190,920","70,713"
986,0,182,80350,301,3179520,42038,9/10/2013,"6,262,034","71,114"
1046,0,147,80645,295,3220053,40533,9/11/2013,"6,329,471","67,437"
756,0,126,80910,265,3255118,35065,9/12/2013,"6,385,918","56,447"
1375,0,145,81164,254,3296318,41200,9/13/2013,"6,456,767","70,849"
3035,0,153,81370,206,3331681,35363,9/14/2013,"6,525,948","69,181"
3010,0,167,81650,280,3367524,35843,9/15/2013,"6,598,498","72,550"
781,0,149,81970,320,3402630,35106,9/16/2013,"6,654,693","56,195"
971,0,170,82207,237,3445747,43117,9/17/2013,"6,725,540","70,847"
1078,0,152,82480,273,3488683,42936,9/18/2013,"6,796,896","71,356"
1209,0,154,82735,255,3532603,43920,9/19/2013,"6,870,554","73,658"
1631,0,156,82959,224,3576498,43895,9/20/2013,"6,945,648","75,094"
3096,0,132,83161,202,3611846,35348,9/21/2013,"7,015,969","70,321"
2479,0,136,83412,251,3644951,33105,9/22/2013,"7,080,726","64,757"
1006,0,171,83689,276,3683914,38963,9/23/2013,"7,144,883","64,157"
1158,0,153,83922,233,3726868,42954,9/24/2013,"7,215,286","70,403"
966,0,133,84130,208,3769507,42639,9/25/2013,"7,285,786","70,500"
973,0,117,84305,175,3811754,42247,9/26/2013,"7,354,431","68,645"
1321,0,137,84519,213,3853122,41368,9/27/2013,"7,423,409","68,978"
3452,0,126,84712,193,3892061,38939,9/28/2013,"7,501,809","78,400"
2718,0,161,84913,201,3928101,36040,9/29/2013,"7,572,461","70,652"
1023,0,140,85236,323,3969180,41079,9/30/2013,"7,639,629","67,168"
1004,0,0,85494,258,4013952,44772,10/1/2013,"7,713,294","73,665"
1129,0,0,85773,279,4059619,45667,10/2/2013,"7,789,442","76,148"
1076,0,0,86333,560,4104091,44472,10/3/2013,"7,862,077","72,635"
1434,0,0,87112,779,4148180,44089,10/4/2013,"7,936,300","74,223"
2971,0,0,87862,750,4185863,37683,10/5/2013,"8,010,192","73,892"
1368,0,0,88604,742,4214892,29029,10/6/2013,"8,060,079","49,887"
421,0,0,89189,585,4242396,27504,10/7/2013,"8,100,403","40,324"
896,0,0,89521,332,4284596,42200,10/8/2013,"8,169,518","69,115"
714,0,0,89769,248,4325203,40607,10/9/2013,"8,231,732","62,214"
482,0,0,89951,182,4359310,34107,10/10/2013,"8,281,464","49,732"
798,0,0,90121,170,4395691,36381,10/11/2013,"8,337,961","56,497"
2855,0,0,90301,180,4431171,35480,10/12/2013,"8,407,802","69,841"
2208,0,0,90522,221,4462672,31501,10/13/2013,"8,467,357","59,555"
1291,0,0,90770,248,4498858,36186,10/14/2013,"8,527,618","60,261"
934,0,0,90977,207,4540317,41459,10/15/2013,"8,594,243","66,625"
789,0,0,91171,194,4580961,40644,10/16/2013,"8,658,358","64,115"
815,0,0,91343,172,4621324,40363,10/17/2013,"8,722,285","63,927"
1267,0,0,91551,208,4663099,41775,10/18/2013,"8,791,450","69,165"
2146,0,0,91659,108,4695568,32469,10/19/2013,"8,850,973","59,523"
2114,0,0,91815,156,4727584,32016,10/20/2013,"8,911,643","60,670"
849,0,0,92029,214,4765932,38348,10/21/2013,"8,973,859","62,216"
636,0,0,92213,184,4805673,39741,10/22/2013,"9,034,282","60,423"
355,0,0,92324,111,4841031,35358,10/23/2013,"9,084,602","50,320"
444,0,0,92410,86,4876269,35238,10/24/2013,"9,135,212","50,610"
592,0,0,92505,95,4909980,33711,10/25/2013,"9,185,320","50,108"
1387,0,0,92598,93,4936633,26653,10/26/2013,"9,230,693","45,373"
1362,0,0,92698,100,4962613,25980,10/27/2013,"9,275,108","44,415"
530,0,0,92844,146,4996911,34298,10/28/2013,"9,327,752","52,644"
450,0,0,92944,100,5033191,36280,10/29/2013,"9,381,516","53,764"
453,0,0,93035,91,5071008,37817,10/30/2013,"9,436,457","54,941"
464,0,0,93137,102,5104999,33991,10/31/2013,"9,487,740","51,283"
848,0,0,93221,84,5138192,33193,11/1/2013,"9,539,774","52,034"
2434,0,0,93320,94,5171880,33688,11/2/2013,"9,604,607","64,833"
831,0,0,93424,104,5194294,22414,11/3/2013,"9,639,461","34,854"
429,0,0,93495,71,5223768,29474,11/4/2013,"9,682,263","42,802"
471,0,0,93598,103,5257947,34179,11/5/2013,"9,731,940","49,677"
627,0,0,93706,108,5295732,37785,11/6/2013,"9,790,064","58,124"
221,0,0,93804,93,5323581,27849,11/7/2013,"9,828,583","38,519"
456,0,0,93859,61,5354613,31032,11/8/2013,"9,874,455","45,872"
1121,0,0,93918,59,5378135,23522,11/9/2013,"9,913,570","39,115"
952,0,0,93969,51,5399405,21270,11/10/2013,"9,947,057","33,487"
438,0,0,94061,92,5428949,29544,11/11/2013,"9,990,076","43,019"
111,0,0,94127,66,5450454,21505,11/12/2013,"10,017,556","27,480"
157,0,0,94189,62,5475958,25504,11/13/2013,"10,051,489","33,933"
274,0,0,94250,61,5505152,29194,11/14/2013,"10,092,152","40,663"
601,0,0,94305,55,5536678,31526,11/15/2013,"10,139,359","47,207"
1696,0,0,94361,56,5563886,27208,11/16/2013,"10,187,459","48,100"
652,0,0,94425,64,5583283,19397,11/17/2013,"10,216,825","29,366"
515,0,0,94533,108,5617001,33718,11/18/2013,"10,269,226","52,401"
198,0,0,94593,60,5646634,29633,11/19/2013,"10,309,249","40,023"
252,0,0,94652,59,5674920,28286,11/20/2013,"10,347,174","37,925"
289,0,0,94697,51,5706009,31089,11/21/2013,"10,390,602","43,428"
352,0,0,94739,42,5733512,27503,11/22/2013,"10,429,362","38,760"
858,0,0,94768,29,5753908,20396,11/23/2013,"10,461,001","31,639"
137,0,0,94808,40,5763977,10069,11/24/2013,"10,473,249","12,248"
118,0,0,94843,35,5784626,20649,11/25/2013,"10,499,811","26,562"
89,0,0,94873,30,5800832,16206,11/26/2013,"10,520,094","20,283"
49,0,0,94897,24,5809447,8615,11/27/2013,"10,530,423","10,329"
211,0,0,94912,15,5815115,5668,11/28/2013,"10,538,800","8,377"
351,0,0,94928,16,5826082,10967,11/29/2013,"10,554,207","15,407"
401,0,0,94955,27,5836687,10605,11/30/2013,"10,569,715","15,508"
456,0,0,94997,42,5851009,14322,12/1/2013,"10,590,837","21,122"
240,0,0,95071,74,5877531,26522,12/2/2013,"10,628,564","37,727"
252,0,0,95140,69,5907297,29766,12/3/2013,"10,670,729","42,165"
252,0,0,95197,57,5937769,30472,12/4/2013,"10,714,650","43,921"
311,0,0,95250,53,5966991,29222,12/5/2013,"10,756,639","41,989"
62,0,0,95296,46,5978617,11626,12/6/2013,"10,771,314","14,675"
456,0,0,95334,38,5995485,16868,12/7/2013,"10,795,695","24,381"
180,0,0,95354,20,6006377,10892,12/8/2013,"10,809,865","14,170"
58,0,0,95401,35,6022569,16192,12/9/2013,"10,830,402","20,537"
39,0,0,95418,34,6036516,13947,12/10/2013,"10,848,168","17,766"
93,0,0,95444,26,6056885,20369,12/11/2013,"10,874,007","25,839"
69,0,0,95479,35,6075437,18552,12/12/2013,"10,897,249","23,242"
161,0,0,95507,28,6094818,19381,12/13/2013,"10,922,911","25,662"
39,0,0,95516,9,6098801,3983,12/14/2013,"10,927,983","5,072"
76,0,0,95535,19,6106928,8127,12/15/2013,"10,938,175","10,192"
67,0,0,95568,33,6123770,16842,12/16/2013,"10,959,528","21,353"
15,0,0,95596,28,6132322,8552,12/17/2013,"10,970,536","11,008"
89,0,0,95628,32,6148568,16246,12/18/2013,"10,991,787","21,251"
157,0,0,95662,34,6168877,20309,12/19/2013,"11,018,742","26,955"
365,0,0,95687,25,6192726,23849,12/20/2013,"11,052,252","33,510"
962,0,0,95723,36,6212088,19362,12/21/2013,"11,084,612","32,360"
741,0,0,95765,42,6228426,16338,12/22/2013,"11,110,903","26,291"
70,0,0,95793,28,6235942,7516,12/23/2013,"11,120,309","9,406"
175,0,0,95823,30,6247913,11971,12/24/2013,"11,135,872","15,563"
184,0,0,95869,46,6251436,3523,12/25/2013,"11,141,330","5,458"
134,0,0,95920,51,6262006,10570,12/26/2013,"11,154,886","13,556"
279,0,0,95969,49,6274655,12649,12/27/2013,"11,172,515","17,629"
821,0,0,96005,36,6287522,12867,12/28/2013,"11,194,503","21,988"
104,0,0,96032,27,6291592,4070,12/29/2013,"11,199,489","4,986"
336,0,0,96084,52,6305814,14222,12/30/2013,"11,219,471","19,982"
237,0,0,96125,41,6317163,11349,12/31/2013,"11,234,326","14,855"
268,0,10,95971,29,6323722,6559,1/1/2014,"11,243,581","9,255"
66,0,3,96000,42,6333056,9334,1/2/2014,"11,255,317","11,736"
1,0,1,96042,23,6334344,1288,1/3/2014,"11,257,172","1,855"
14,0,1,96065,19,6336838,2494,1/4/2014,"11,260,878","3,706"
17,0,4,96084,18,6339775,2937,1/5/2014,"11,264,598","3,720"
30,0,7,96102,22,6350256,10481,1/6/2014,"11,277,613","13,015"
5,0,4,96124,28,6357400,7144,1/7/2014,"11,285,814","8,201"
28,0,4,96152,19,6367562,10162,1/8/2014,"11,297,582","11,768"
74,0,10,96171,18,6382133,14571,1/9/2014,"11,315,983","18,401"
49,0,5,96189,36,6392818,10685,1/10/2014,"11,329,416","13,433"
101,0,16,96225,22,6401151,8333,1/11/2014,"11,340,151","10,735"
350,0,22,96247,29,6414700,13549,1/12/2014,"11,359,291","19,140"
224,0,31,96276,72,6437077,22377,1/13/2014,"11,390,121","30,830"
45,0,4,96348,43,6447926,10849,1/14/2014,"11,403,392","13,271"
241,0,30,96391,62,6471426,23500,1/15/2014,"11,435,695","32,303"
208,0,37,96453,56,6492954,21528,1/16/2014,"11,464,502","28,807"
282,0,34,96509,67,6514794,21840,1/17/2014,"11,495,275","30,773"
176,0,15,96576,40,6525016,10222,1/18/2014,"11,509,870","14,595"
194,0,13,96616,38,6534784,9768,1/19/2014,"11,523,461","13,591"
133,0,11,96654,47,6549365,14581,1/20/2014,"11,543,564","20,103"
5,0,1,96701,32,6553536,4171,1/21/2014,"11,548,993","5,429"
4,0,3,96733,8,6556298,2762,1/22/2014,"11,553,054","4,061"
9,0,1,96741,16,6562041,5743,1/23/2014,"11,561,390","8,336"
15,0,6,96757,13,6568942,6901,1/24/2014,"11,570,765","9,375"
